,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,SCRAMBLING_%,GIR_%,SG_TEE,SG_APPROACH,SG_SCRAMBLE,SG_PUTTING,SG_TOTAL,POINTS,TOP 10,1ST,MONEY,Year
40,Chris Kirk,87,70.414,295.7,56.47,57.66,66.67,-.118,.611,.142,-.202,.432,"1,332",4,1,"$1,877,627",2011
41,John Merrick,71,70.423,297.2,67.31,58.03,68.69,.319,.134,-.081,.058,.430,535,1,,"$704,789",2011
42,Jimmy Walker,79,70.424,298.8,53.13,59.45,63.92,-.285,.271,.168,.222,.376,"1,252",4,,"$1,336,556",2011
43,Brendon de Jonge,105,70.429,287.8,64.04,60.33,66.45,-.065,.312,.057,.273,.576,"1,024",3,,"$1,241,326",2011
44,Kevin Na,84,70.432,279.8,57.66,63.50,61.04,-.757,.286,.593,.650,.770,778,6,1,"$2,336,965",2011
45,Trevor Immelman,84,70.433,288.5,61.74,58.09,68.12,-.299,.085,.250,.297,.333,638,2,,"$1,165,604",2011
46,Bryce Molder,82,70.433,282.0,66.46,62.50,65.00,-.325,-.138,.346,.770,.653,523,6,1,"$1,957,944",2011
47,Ben Crane,76,70.434,284.9,67.06,61.31,66.36,.101,.162,.093,.134,.490,561,4,1,"$1,679,595",2011
48,Briny Baird,60,70.435,289.1,68.74,60.00,69.14,.101,.252,.112,.078,.543,258,3,,"$942,286",2011
49,Lucas Glover,74,70.445,294.6,61.05,53.74,65.92,.270,.052,-.116,.236,.442,"1,305",1,1,"$1,823,327",2011
50,Dustin Johnson,72,70.457,314.2,57.17,51.24,68.39,.912,.195,.019,-.549,.576,"2,488",6,1,"$4,309,961",2011
51,Rory Sabbatini,85,70.460,292.5,56.74,58.23,65.84,.218,.657,.248,-.403,.719,"1,493",3,1,"$2,420,655",2011
52,Brian Davis,105,70.469,283.3,70.33,59.00,67.35,.226,.493,-.079,-.035,.605,"1,438",2,,"$1,308,009",2011
53,Andres Romero,77,70.495,294.7,57.80,56.48,63.41,.201,-.038,-.090,.400,.474,939,4,,"$1,313,133",2011
54,J.B. Holmes,57,70.523,318.4,52.09,54.06,66.46,.726,.388,-.202,-.064,.847,640,4,,"$1,398,583",2011
55,Mark Wilson,89,70.526,284.8,67.63,62.97,66.03,.007,-.017,.255,.233,.477,620,4,2,"$3,158,477",2011
56,Kevin Streelman,90,70.540,289.2,63.72,60.50,65.62,.442,.305,-.168,.356,.934,770,4,,"$1,300,006",2011
57,Davis Love III,70,70.548,298.5,59.45,54.00,68.25,.245,.528,-.065,-.318,.389,565,2,,"$1,056,300",2011
58,Ricky Barnes,78,70.572,293.3,58.55,56.60,66.52,-.011,.584,.132,-.480,.224,556,2,,"$951,587",2011
59,John Rollins,85,70.584,296.7,66.84,56.28,69.08,.647,.124,.002,-.101,.671,616,4,,"$1,370,566",2011
60,Chris Couch,73,70.595,296.8,64.96,60.87,64.99,.606,-.345,-.208,.397,.450,573,3,,"$922,496",2011
61,Greg Chalmers,88,70.596,279.6,62.42,65.17,61.24,-.411,-.057,.253,.635,.420,692,2,,"$832,191",2011
