,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,SCRAMBLING_%,GIR_%,SG_TEE,SG_APPROACH,SG_SCRAMBLE,SG_PUTTING,SG_TOTAL,POINTS,TOP 10,1ST,MONEY,Year
99,Michael Bradley,74,70.877,290.7,57.03,51.72,67.62,-.572,.448,.234,-.196,-.086,454,1,1,"$935,934",2011
100,Harrison Frazar,58,70.891,301.8,51.49,54.08,62.45,.259,-.025,-.114,-.386,-.266,713,1,1,"$1,322,267",2011
101,David Mathis,83,70.899,282.0,66.82,60.81,64.29,-.091,.003,-.032,.215,.095,326,1,,"$715,404",2011
102,Chris DiMarco,93,70.909,277.9,66.67,60.47,65.11,-.313,.383,.053,-.145,-.021,499,,,"$761,932",2011
103,Vaughn Taylor,89,70.909,284.1,64.22,58.46,66.04,-.294,.191,.028,.153,.077,397,,,"$423,907",2011
104,Robert Garrigus,83,70.931,313.4,52.97,53.56,66.13,.662,.280,-.419,-.384,.139,759,3,,"$1,503,923",2011
105,Michael Thompson,79,70.942,291.0,60.14,60.75,65.30,-.335,-.321,.156,.448,-.052,413,2,,"$935,265",2011
106,Woody Austin,59,70.943,287.6,66.21,63.92,66.88,-.149,.588,.011,.037,.487,221,1,,"$354,042",2011
107,Marc Leishman,87,70.948,296.0,54.41,58.53,64.43,-.116,.034,.207,-.099,.026,947,2,,"$916,330",2011
108,Kris Blanks,92,70.952,284.9,63.11,57.94,68.89,-.078,.576,.095,-.440,.152,694,3,,"$1,350,010",2011
109,Jhonattan Vegas,84,70.966,304.9,54.65,54.66,67.22,.507,-.246,-.117,-.315,-.172,"1,149",3,1,"$1,854,414",2011
110,Heath Slocum,89,70.988,281.9,74.92,54.53,71.40,.192,.339,-.074,-.493,-.036,388,,,"$767,216",2011
111,Michael Putnam,67,70.989,297.2,54.72,58.17,64.37,.020,-.418,-.187,.423,-.162,300,,,"$398,400",2011
112,Graeme McDowell,50,70.997,289.5,66.31,54.01,66.08,.301,.029,-.265,.132,.197,765,3,,"$1,088,898",2011
113,Kent Jones,76,71.001,285.0,66.13,54.50,66.12,-.059,-.008,-.137,.028,-.177,297,,,"$360,624",2011
114,Justin Leonard,82,71.002,280.1,65.29,61.97,64.91,-.257,-.070,.338,-.110,-.099,328,1,,"$952,962",2011
115,Brendan Steele,89,71.019,292.8,64.83,54.53,65.45,.118,.209,-.273,-.060,-.006,"1,160",3,1,"$1,976,310",2011
116,Camilo Villegas,69,71.024,294.4,57.98,55.99,62.50,-.125,.399,.010,-.194,.091,"1,532",4,,"$1,231,918",2011
117,Scott Stallings,84,71.036,303.7,56.91,53.52,66.60,.443,.244,-.475,-.154,.059,"1,125",2,1,"$1,957,162",2011
118,Bill Lunde,92,71.046,291.5,61.11,56.70,69.38,.156,.027,-.126,.003,.060,668,,,"$639,548",2011
119,Josh Teater,104,71.057,302.3,61.48,54.45,66.89,.632,-.390,-.068,-.089,.085,513,2,,"$769,324",2011
120,Ernie Els,71,71.062,288.1,60.10,51.07,69.89,.121,.635,.109,-.705,.160,924,1,,"$948,872",2011
121,Charley Hoffman,93,71.097,299.8,60.34,53.64,66.79,.453,.200,.129,-.256,.525,"1,369",2,,"$1,462,591",2011
122,Ryuji Imada,83,71.115,283.4,60.36,58.80,64.26,-.211,-.085,.337,-.157,-.117,617,2,,"$990,319",2011
123,Steve Flesch,88,71.119,282.5,61.43,57.00,59.85,-.460,-.367,.253,.320,-.255,352,1,,"$594,622",2011
124,Stephen Ames,69,71.121,283.8,67.44,60.59,65.30,-.131,.029,-.171,.012,-.262,298,2,,"$547,589",2011
125,Scott McCarron,65,71.127,291.6,64.63,60.56,60.75,.181,-1.240,.193,.519,-.347,221,1,,"$436,270",2011
126,Tom Gillis,55,71.134,290.1,64.11,55.86,66.36,.076,-.212,-.001,-.436,-.573,431,2,,"$814,147",2011
127,Chris Riley,76,71.143,279.3,70.19,61.62,64.81,-.087,-.301,.590,-.292,-.091,292,1,,"$397,204",2011
128,Paul Stankowski,78,71.165,283.9,59.05,59.42,65.20,-.529,-.014,.199,.324,-.020,207,,,"$290,211",2011
129,Boo Weekley,66,71.176,296.6,66.74,52.85,71.68,.683,.492,-.357,-1.100,-.282,223,,,"$279,531",2011
130,Alex Cejka,59,71.178,280.3,66.42,56.94,66.10,-.145,.259,.413,-.665,-.138,303,,,"$344,902",2011
131,Troy Matteson,91,71.184,300.2,58.83,55.58,65.64,.295,-.089,-.218,-.150,-.162,547,2,,"$946,989",2011
132,Dean Wilson,62,71.195,276.8,65.27,61.63,62.63,-.863,.073,.079,.492,-.220,318,,,"$401,314",2011
133,Joe Ogilvie,75,71.215,291.6,56.62,56.98,62.60,-.271,-.236,.034,.167,-.306,379,1,,"$726,866",2011
134,Steven Bowditch,86,71.221,308.3,55.12,52.33,63.62,.339,-.615,-.153,.161,-.267,347,1,,"$621,378",2011
135,Kevin Chappell,78,71.221,295.8,59.00,58.46,64.89,.140,.082,-.036,-.501,-.314,673,3,,"$1,339,640",2011
136,Alexandre Rocha,65,71.262,290.9,62.23,55.21,68.23,-.184,.005,-.195,-.001,-.375,127,,,"$225,026",2011
137,James Driscoll,71,71.277,298.5,55.79,56.91,63.50,-.243,-.226,.285,-.025,-.209,353,2,,"$741,010",2011
138,Kevin Stadler,88,71.295,293.2,63.25,52.39,68.06,.109,.400,-.301,-.426,-.218,444,1,,"$768,172",2011
139,Nathan Green,81,71.298,285.0,59.44,60.92,62.34,-.367,-.225,.091,.108,-.394,209,,,"$312,109",2011
140,Tag Ridings,87,71.325,303.3,56.99,55.37,63.58,.114,-.165,-.251,.066,-.237,286,,,"$382,670",2011
141,Michael Connell,76,71.326,279.5,65.79,60.81,63.82,-.393,.042,.023,-.097,-.425,233,,,"$309,362",2011
142,Tim Petrovic,88,71.326,280.5,64.73,60.49,62.17,-.316,-.247,.267,.177,-.119,326,,,"$428,011",2011
143,Jason Bohn,74,71.336,284.9,67.48,58.25,67.30,-.103,.167,-.139,-.069,-.144,284,,,"$411,943",2011
144,Jim Renner,65,71.372,296.8,59.10,58.22,65.01,.162,-.188,-.234,.149,-.111,149,2,,"$392,945",2011
145,Jim Herman,69,71.377,301.7,56.98,56.53,67.94,.244,.011,-.090,-.344,-.180,160,,,"$196,845",2011
146,Ben Martin,74,71.419,289.5,63.43,52.93,64.76,.073,-.301,-.453,.406,-.275,242,1,,"$340,080",2011
147,Joe Durant,71,71.428,283.6,75.65,59.10,71.26,.382,.494,-.246,-.861,-.233,260,,,"$358,790",2011
148,Arjun Atwal,91,71.444,284.8,56.31,55.65,63.25,-.705,.241,.011,.044,-.409,459,1,,"$690,237",2011
149,Garrett Willis,71,71.458,279.7,67.85,58.14,64.41,-.066,-.037,-.144,-.031,-.278,270,1,,"$526,390",2011
150,Roland Thatcher,67,71.478,293.1,61.16,58.00,64.26,-.007,-.259,-.419,.194,-.491,302,2,,"$666,371",2011
151,Billy Horschel,75,71.512,291.0,66.22,54.03,67.07,.310,-.290,-.189,-.024,-.192,197,2,,"$533,024",2011
152,Matt Jones,71,71.517,293.9,55.52,56.96,62.36,-.135,-.506,.262,.002,-.377,328,1,,"$602,392",2011
153,Lee Janzen,62,71.525,290.1,63.04,54.84,63.10,-.401,-.264,.052,.170,-.443,168,,,"$216,993",2011
154,Marc Turnesa,54,71.533,282.8,62.93,52.80,65.60,-.077,-.092,-.416,.219,-.365,175,1,,"$299,405",2011
155,Stuart Appleby,65,71.554,287.5,58.20,55.90,61.62,-.461,-.152,.134,-.184,-.663,387,1,,"$657,150",2011
156,Scott Gutschewski,67,71.582,298.0,58.06,56.68,62.62,-.072,-.013,.056,-.638,-.667,125,,,"$229,758",2011
157,Steve Elkington,50,71.598,285.4,69.58,60.26,66.44,-.004,-.651,.003,.312,-.340,107,1,,"$176,225",2011
158,Bobby Gates,82,71.616,297.4,60.10,51.49,64.71,.133,-.183,-.396,-.452,-.898,256,3,,"$666,735",2011
159,Jarrod Lyle,83,71.617,286.1,58.86,57.30,61.95,-.175,-.505,.024,-.163,-.820,217,1,,"$317,459",2011
160,Andres Gonzales,60,71.634,293.1,61.49,52.85,64.42,-.473,-.184,-.137,.143,-.652,93,,,"$186,847",2011
161,Matt McQuillan,59,71.635,285.4,64.45,57.57,62.63,-.363,-.188,.031,.436,-.084,280,3,,"$582,933",2011
162,FabiÃ¡n GÃ³mez,84,71.639,288.4,63.08,52.10,65.20,-.186,-.146,-.152,-.117,-.602,208,1,,"$381,730",2011
163,Cameron Beckman,71,71.642,284.3,61.05,56.76,63.18,-.423,-.061,-.057,-.112,-.653,324,,,"$455,085",2011
164,Shaun Micheel,77,71.675,286.1,55.71,58.64,63.01,-.640,-.319,.245,.138,-.575,160,,,"$206,450",2011
165,Matt Bettencourt,84,71.689,288.3,56.51,54.97,62.10,-.267,-.309,-.269,.079,-.766,461,2,,"$692,545",2011
166,Bio Kim,71,71.696,296.1,52.87,54.85,59.49,-.563,-.838,.515,.033,-.854,179,,,"$345,588",2011
167,Joseph Bramlett,73,71.714,295.6,59.54,56.51,65.21,.030,.068,.013,-.581,-.470,110,,,"$178,728",2011
168,Paul Goydos,81,71.722,274.8,69.00,55.79,64.47,-.276,.452,-.142,-.628,-.594,474,4,,"$1,385,328",2011
169,Colt Knost,80,71.747,279.0,66.02,55.34,62.01,-.229,-.672,-.037,.271,-.667,227,,,"$296,817",2011
170,D.J. Brigman,67,71.803,290.2,55.27,53.49,60.92,-.606,-.119,-.083,-.245,-1.053,140,,,"$191,491",2011
171,Nate Smith,66,71.833,281.2,60.98,58.07,61.57,-.882,-.547,.136,.411,-.883,110,,,"$154,814",2011
172,Kevin Kisner,70,71.858,284.3,60.96,54.85,60.59,-.247,-.707,-.090,.139,-.906,116,,,"$270,170",2011
173,David Duval,67,71.873,296.3,51.88,52.66,64.10,-.243,.065,-.259,-.364,-.801,191,1,,"$400,654",2011
174,Zack Miller,86,71.890,299.5,57.06,54.26,61.79,.057,-.612,-.012,-.483,-1.051,290,1,,"$427,341",2011
175,Richard Johnson,64,71.902,276.6,63.46,54.19,63.41,-.689,-.335,-.137,.117,-1.044,144,,,"$212,106",2011
176,Alex Prugh,82,71.904,298.6,57.35,47.91,65.95,.204,-.109,-.470,-.582,-.958,209,,,"$292,070",2011
177,Justin Hicks,60,72.008,286.0,69.88,50.47,65.71,.202,-.192,-.472,-.955,-1.416,145,,,"$284,990",2011
178,J.P. Hayes,56,72.048,282.7,64.36,58.29,61.52,-.035,-.406,-.111,.024,-.528,147,,,"$186,769",2011
179,Troy Merritt,63,72.083,286.8,62.04,56.35,64.12,-.181,-.468,-.049,-.334,-1.031,131,,,"$151,475",2011
180,Will Strickler,51,72.177,304.1,57.38,54.21,62.06,-.267,-.648,-.380,.294,-1.000,84,,,"$109,031",2011
181,Daniel Summerhays,75,72.487,284.9,62.83,55.07,63.24,-.719,-.434,-.134,-.292,-1.581,210,,,"$301,899",2011
182,Martin Piller,63,72.542,292.2,54.00,52.66,61.02,-.326,-.610,-.623,.208,-1.351,120,,,"$140,958",2011
183,Derek Lamely,65,72.606,297.9,50.57,50.83,62.87,-.700,-.636,.273,-.321,-1.383,123,,,"$301,146",2011
184,Rich Beem,53,72.760,286.1,63.87,52.89,61.95,-.152,-.257,-.280,-.592,-1.281,78,,,"$135,225",2011
185,Rocco Mediate,53,72.975,275.5,68.91,51.80,62.16,-.248,-.682,.030,-.621,-1.522,85,,,"$136,299",2011
0,Rory McIlroy,60,68.873,310.1,56.61,60.24,66.36,1.072,1.002,.273,.058,2.406,"2,827",10,4,"$8,047,952",2012
1,Tiger Woods,69,68.904,297.4,63.93,63.17,67.58,.553,1.224,.194,.339,2.310,"2,663",9,3,"$6,133,158",2012
2,Jim Furyk,85,69.304,280.0,70.71,63.83,68.19,.225,.830,.275,.423,1.752,790,8,,"$3,623,805",2012
3,Jason Dufner,83,69.456,292.4,66.90,62.42,69.17,.553,.519,.222,.153,1.446,853,8,2,"$4,869,304",2012
4,Matt Kuchar,86,69.477,286.2,65.06,62.43,65.38,.110,.490,.309,.472,1.382,707,9,1,"$3,903,065",2012
5,Adam Scott,59,69.533,304.6,59.61,55.87,66.57,.605,.494,.203,-.138,1.164,560,5,,"$2,899,557",2012
6,Justin Rose,69,69.549,290.9,65.82,61.98,70.34,.355,.840,.567,-.122,1.640,"1,770",8,1,"$4,290,930",2012
7,Dustin Johnson,70,69.564,310.2,56.30,60.29,65.75,.720,.638,-.035,.185,1.509,"1,527",9,1,"$3,393,820",2012
8,Bubba Watson,68,69.639,315.5,58.84,56.58,69.95,1.485,.265,.059,-.280,1.529,"1,005",7,1,"$4,644,997",2012
9,Luke Donald,63,69.687,280.1,65.16,62.66,64.96,-.188,.582,.430,.818,1.641,"1,275",8,1,"$3,512,024",2012
10,Louis Oosthuizen,65,69.707,299.5,62.41,55.37,68.78,.496,.478,.006,-.004,.976,"1,635",5,,"$3,460,995",2012
11,Bo Van Pelt,84,69.718,296.1,64.79,55.69,67.07,.450,.665,-.220,.542,1.437,647,10,,"$3,043,509",2012
12,Padraig Harrington,67,69.736,293.6,59.86,59.67,62.17,.193,.331,.384,-.020,.888,"1,213",3,,"$1,546,272",2012
13,Zach Johnson,95,69.821,281.1,68.53,60.37,64.95,.112,.342,.176,.568,1.197,"1,073",6,2,"$4,504,244",2012
14,Brandt Snedeker,81,69.840,288.7,60.50,62.08,63.75,-.276,.110,.316,.860,1.010,"4,100",7,2,"$4,989,739",2012
15,Steve Stricker,73,69.865,285.4,63.31,60.15,68.33,.116,.898,.147,.134,1.295,685,7,1,"$3,420,021",2012
16,Sergio Garcia,57,69.928,292.4,61.15,58.36,64.98,.346,.075,.283,.400,1.104,733,3,1,"$2,510,116",2012
17,Keegan Bradley,90,69.984,302.7,61.65,57.55,66.54,.680,.238,-.127,.330,1.122,655,5,1,"$3,910,658",2012
18,Carl Pettersson,92,70.013,297.1,57.63,60.37,63.89,.041,.334,.049,.444,.867,613,6,1,"$3,538,656",2012
19,Phil Mickelson,79,70.030,294.4,54.31,61.57,64.14,-.103,.566,.398,.562,1.422,"2,073",7,1,"$4,203,821",2012
20,Webb Simpson,77,70.040,288.6,61.47,58.65,67.47,.222,.319,.371,.211,1.123,785,7,1,"$3,436,758",2012
21,John Senden,81,70.050,291.0,65.93,57.37,68.59,.503,.473,-.016,.039,1.000,445,5,,"$1,916,651",2012
22,Robert Garrigus,89,70.066,310.3,56.58,55.58,69.23,.797,.680,-.264,-.225,.988,637,8,,"$3,206,530",2012
23,Lee Westwood,60,70.084,298.1,62.17,48.30,69.75,.628,.681,-.166,-.359,.784,"1,205",7,,"$3,016,569",2012
24,Ernie Els,80,70.131,294.6,56.71,61.06,66.52,.272,.462,-.006,-.050,.677,510,5,1,"$3,453,118",2012
25,Brendon de Jonge,115,70.137,288.8,63.42,58.60,69.17,.185,.754,.000,.144,1.083,"1,065",4,,"$2,015,252",2012
26,Jason Day,57,70.152,308.6,52.48,61.36,61.31,.121,.102,.275,.526,1.024,712,4,,"$1,143,233",2012
27,Vijay Singh,99,70.156,295.4,61.62,59.30,66.22,.435,.520,.212,-.404,.763,"1,406",5,,"$1,586,305",2012
28,Ian Poulter,57,70.176,285.0,65.13,64.34,61.61,.186,.068,.207,.103,.564,"1,280",4,1,"$1,715,271",2012
29,Davis Love III,64,70.194,296.3,59.11,54.84,65.02,.206,.635,-.038,.063,.867,443,3,,"$989,753",2012
30,Jeff Overton,101,70.197,292.0,61.91,59.35,66.32,.434,.236,-.080,.293,.883,"1,199",4,,"$1,563,670",2012
31,Graeme McDowell,55,70.229,285.5,70.11,51.83,66.26,.490,.641,-.478,-.282,.372,"1,222",4,,"$2,408,279",2012
32,Henrik Stenson,51,70.239,289.5,64.13,59.04,65.37,.343,.297,.169,.105,.915,462,1,,"$791,107",2012
33,Jonas Blixt,72,70.244,286.3,58.90,61.57,63.65,-.100,-.010,.367,.804,1.062,820,5,1,"$2,255,695",2012
34,Ryan Palmer,81,70.252,303.1,57.95,58.27,65.16,.485,.258,-.193,.453,1.003,"1,070",4,,"$1,501,215",2012
35,Seung-Yul Noh,105,70.256,300.4,59.34,58.00,67.41,.355,.102,.122,.142,.721,"1,379",3,,"$1,629,751",2012
36,Charl Schwartzel,56,70.281,295.8,61.41,58.95,62.65,.356,.445,.039,.084,.925,"1,041",2,,"$1,138,844",2012
37,Ryan Moore,89,70.300,287.6,65.75,56.77,66.35,.163,.270,-.009,.424,.847,"1,105",8,1,"$2,858,944",2012
38,Hunter Mahan,88,70.346,293.1,67.74,53.71,68.97,.400,.372,-.122,-.109,.541,693,5,2,"$4,019,193",2012
39,Will Claxton,99,70.369,290.4,65.36,56.90,69.06,.524,.318,-.163,-.167,.512,530,2,,"$780,969",2012
40,Ken Duke,104,70.376,282.6,65.69,60.91,64.61,.019,.309,-.023,.349,.654,776,6,,"$1,511,628",2012
41,Pat Perez,81,70.378,291.5,62.33,61.77,65.05,.099,.272,.232,.160,.763,"1,073",1,,"$1,064,053",2012
42,John Huh,99,70.384,288.3,68.69,55.52,66.44,.391,.031,-.025,.167,.564,460,4,1,"$2,692,113",2012
43,Charles Howell III,98,70.385,294.6,54.60,56.20,66.61,.098,.257,.270,.054,.679,733,2,,"$1,284,578",2012
44,Scott Piercy,95,70.409,304.5,56.06,59.90,65.73,.476,.202,-.042,.221,.857,483,4,1,"$2,699,205",2012
45,Greg Chalmers,88,70.417,282.0,62.00,62.00,59.83,-.335,.012,.459,.506,.642,"1,402",1,,"$1,166,627",2012
46,Bob Estes,78,70.418,285.2,60.72,60.98,62.39,-.454,.396,.347,.074,.362,"1,058",2,,"$1,009,769",2012
47,Roberto Castro,92,70.434,290.6,65.36,58.49,68.41,.244,.030,.269,.048,.591,772,1,,"$755,095",2012
48,Geoff Ogilvy,73,70.436,290.1,62.01,62.63,63.66,.158,.168,.127,.238,.691,"1,164",1,,"$1,255,223",2012
49,Greg Owen,90,70.444,295.9,60.16,54.03,68.58,.336,.367,.012,-.416,.298,704,3,,"$1,151,622",2012
50,Bud Cauley,99,70.458,291.6,60.33,62.42,66.55,.065,.201,.388,.065,.721,"1,342",6,,"$1,774,479",2012
51,Bill Haas,79,70.484,292.2,63.62,60.74,65.17,.472,-.180,.273,.103,.668,"1,471",3,1,"$2,349,951",2012
52,Billy Horschel,63,70.494,290.2,66.58,59.87,68.79,.546,.028,-.116,-.068,.391,289,1,,"$486,177",2012
53,Kevin Stadler,85,70.525,292.9,65.09,58.61,67.75,.351,.711,-.359,-.263,.439,"1,403",5,,"$1,546,036",2012
54,Ben Curtis,62,70.538,274.8,69.70,58.46,68.87,-.044,.408,.036,.505,.906,"1,230",3,1,"$2,494,153",2012
55,Martin Flores,95,70.538,295.0,53.58,59.04,63.98,.077,-.507,.192,.656,.419,562,2,,"$1,035,569",2012
56,Jimmy Walker,101,70.556,296.5,52.74,58.09,64.30,-.243,.105,.258,.427,.547,"1,033",6,,"$1,638,419",2012
57,Freddie Jacobson,61,70.561,287.4,57.98,57.52,61.85,-.071,.306,.020,-.145,.109,513,1,,"$953,494",2012
58,Chad Campbell,84,70.566,290.1,60.19,54.93,67.13,-.040,.751,-.004,-.425,.283,517,3,,"$895,199",2012
59,Nick Watney,97,70.577,296.8,58.86,55.11,66.43,-.016,.586,-.007,-.028,.536,"2,215",5,1,"$3,044,224",2012
60,Blake Adams,107,70.586,288.4,65.83,56.01,65.91,.237,-.055,-.057,.232,.356,674,3,,"$1,234,345",2012
61,Rickie Fowler,84,70.606,293.2,64.43,56.79,64.99,.458,.228,.034,-.202,.518,475,5,1,"$3,066,293",2012
62,Sean O'Hair,84,70.615,297.5,59.98,56.04,68.25,.255,.250,.149,-.286,.368,744,2,,"$1,160,981",2012
63,John Rollins,81,70.618,295.4,64.25,58.00,66.16,.627,-.269,.107,-.034,.431,800,5,,"$1,489,155",2012
64,Graham DeLaet,79,70.624,304.3,60.36,57.68,66.74,.500,.334,-.234,-.278,.322,"1,085",3,,"$1,051,951",2012
65,Kyle Stanley,86,70.633,306.9,59.49,52.61,67.06,.786,.439,-.043,-.797,.384,"1,492",2,1,"$2,351,857",2012
66,Kevin Na,80,70.634,281.5,65.91,61.30,62.03,-.255,.301,.206,.193,.445,"1,095",6,,"$2,029,943",2012
67,Harris English,98,70.688,300.3,59.47,53.60,67.74,.286,-.038,-.124,.175,.299,762,3,,"$1,186,003",2012
68,Tim Clark,60,70.697,276.7,71.60,58.03,64.26,.285,.151,-.014,-.121,.301,"1,065",3,,"$1,407,028",2012
69,Charlie Wi,86,70.697,285.6,61.65,59.13,59.69,-.197,-.229,.430,.279,.283,"1,043",4,,"$1,845,397",2012
70,John Mallinger,74,70.699,281.4,67.93,58.77,66.51,-.086,.184,.206,-.086,.218,543,3,,"$1,146,852",2012
71,John Merrick,83,70.701,293.3,64.46,54.90,69.13,.202,.230,-.047,-.193,.191,814,2,,"$1,084,628",2012
72,Ben Crane,73,70.708,286.8,64.36,57.24,64.81,.102,-.138,.195,.432,.591,991,4,,"$1,701,365",2012
73,Michael Thompson,80,70.718,283.4,59.43,55.39,63.26,-.375,.317,-.192,.355,.106,671,3,,"$1,408,374",2012
74,Daniel Summerhays,81,70.722,289.3,61.93,56.03,67.68,.200,-.066,.045,-.053,.126,573,4,,"$1,111,522",2012
75,William McGirt,96,70.729,285.4,60.58,58.60,66.30,-.092,.110,-.047,.282,.253,"1,125",3,,"$1,228,947",2012
76,David Toms,60,70.740,275.5,69.75,61.86,66.09,.131,.012,.189,-.141,.191,623,5,,"$1,658,428",2012
77,Jonathan Byrd,69,70.753,289.5,57.88,58.65,63.64,-.220,.406,.058,.262,.506,736,5,,"$1,616,789",2012
78,Brian Gay,91,70.767,277.7,62.10,64.38,62.71,-.364,-.486,.293,.704,.148,491,3,,"$960,658",2012
79,Spencer Levin,81,70.776,283.7,57.30,57.84,60.97,-.207,-.041,.180,.330,.262,735,3,,"$1,283,616",2012
80,Tim Herron,88,70.781,289.4,59.93,57.06,67.36,.152,.193,.163,-.174,.334,339,2,,"$660,279",2012
81,Matt Every,80,70.789,285.5,60.89,58.44,66.23,-.051,.377,.191,.096,.613,979,6,,"$1,972,166",2012
82,David Hearn,95,70.802,286.7,62.25,61.11,66.32,-.022,-.210,.231,.261,.261,967,2,,"$1,012,575",2012
83,Brian Davis,91,70.807,277.1,67.24,58.92,63.47,-.012,.146,.090,.370,.594,728,4,,"$1,318,032",2012
84,Richard Lee,71,70.809,285.6,68.72,54.99,68.29,.106,-.187,.071,.189,.179,262,1,,"$547,733",2012
85,Tom Gillis,75,70.812,289.0,66.09,58.40,63.85,.207,-.274,.189,.217,.339,"1,277",3,,"$1,238,058",2012
86,Gary Christian,91,70.820,281.9,68.95,55.25,66.99,.170,.124,-.067,-.077,.149,529,1,,"$616,457",2012
87,Brian Harman,101,70.821,290.3,65.44,58.99,63.92,.337,-.370,.101,.132,.199,"1,122",1,,"$1,146,448",2012
88,Kevin Streelman,89,70.821,292.8,61.63,58.22,66.22,.110,.184,.028,-.054,.268,462,3,,"$893,736",2012
89,Marc Leishman,84,70.831,289.4,55.20,58.26,62.76,-.209,.559,.193,-.331,.212,"1,165",2,1,"$1,933,761",2012
90,Ryo Ishikawa,54,70.854,290.0,53.28,54.44,59.61,-.199,.069,-.104,.196,-.038,,2,,,2012
91,Dicky Pride,62,70.871,285.9,61.38,57.39,64.51,-.287,.002,.064,.130,-.090,884,3,,"$1,259,712",2012
92,Chris Stroud,86,70.878,286.6,62.31,61.55,63.37,-.236,-.049,.325,.082,.121,484,2,,"$903,570",2012
93,John Daly,50,70.879,306.7,55.78,52.55,62.08,.272,-.267,-.604,.192,-.406,298,1,,"$488,505",2012
94,Jeff Maggert,83,70.883,285.3,67.16,58.48,65.66,.287,.084,-.214,-.127,.030,437,1,,"$682,742",2012
95,K.J. Choi,71,70.886,282.3,64.08,54.68,63.57,.064,.153,.382,-.344,.255,602,2,,"$969,057",2012
96,Kevin Chappell,91,70.890,293.3,56.73,57.83,64.11,.228,-.186,.138,-.262,-.081,447,1,,"$647,510",2012
97,Chris Kirk,93,70.891,291.8,59.70,58.32,66.60,.032,.444,-.037,-.195,.244,"1,152",4,,"$1,197,562",2012
98,Johnson Wagner,88,70.899,284.0,62.32,56.85,65.91,-.027,.376,-.310,.346,.385,"1,386",4,1,"$2,225,007",2012
99,Russell Knox,72,70.905,285.8,67.03,58.24,69.36,.049,.025,.105,.000,.179,164,2,,"$512,584",2012
100,Heath Slocum,93,70.911,278.9,71.69,58.33,67.84,.248,.427,-.158,-.554,-.035,365,,,"$518,198",2012
101,J.B. Holmes,90,70.924,309.7,54.40,55.92,64.50,.585,-.219,.186,-.057,.496,"1,153",2,,"$1,179,505",2012
102,J.J. Henry,93,70.939,288.1,63.18,57.61,68.24,.051,.126,.133,-.054,.255,760,3,1,"$1,297,802",2012
103,D.A. Points,88,70.946,284.0,64.66,56.50,66.48,.067,.329,-.003,-.109,.284,"1,027",3,,"$1,533,361",2012
104,Billy Mayfair,90,70.948,286.8,65.20,61.76,64.02,.080,-.083,.131,-.205,-.077,500,1,,"$619,961",2012
105,Josh Teater,97,70.953,298.6,61.30,56.07,67.50,.570,-.231,-.001,-.209,.128,803,4,,"$1,011,430",2012
106,Jerry Kelly,84,70.955,276.1,73.00,59.39,65.63,-.018,-.218,.245,-.077,-.067,385,1,,"$645,701",2012
107,Boo Weekley,74,70.966,296.8,65.15,53.04,69.53,.668,.466,-.162,-1.055,-.082,365,3,,"$848,347",2012
108,Chris Couch,61,70.977,293.8,65.49,58.29,63.65,.377,-.131,-.205,.083,.125,242,,,"$335,848",2012
109,Martin Laird,77,70.989,298.2,59.16,55.92,65.30,.374,.175,-.099,.099,.549,"1,024",3,,"$2,172,883",2012
110,Nathan Green,73,70.991,283.8,58.97,57.62,66.92,-.479,.048,.083,.248,-.100,245,1,,"$366,651",2012
111,Y.E. Yang,64,71.005,284.9,61.06,57.67,58.51,-.118,-.352,-.192,.516,-.146,351,,,"$454,276",2012
112,George McNeill,85,71.011,288.8,61.14,57.33,63.03,-.149,-.023,-.053,.238,.013,724,1,1,"$1,119,535",2012
113,Cameron Tringale,88,71.023,290.4,64.41,58.79,66.60,.195,.056,.003,.102,.356,689,4,,"$1,225,737",2012
114,Bryce Molder,83,71.028,277.5,61.59,61.32,64.91,-.632,.100,.188,.666,.321,"1,023",2,,"$1,166,115",2012
115,Rod Pampling,88,71.038,288.8,62.72,57.23,64.93,.061,-.131,.203,-.153,-.020,505,1,,"$620,893",2012
116,Vaughn Taylor,81,71.059,286.0,60.59,56.26,66.30,-.327,.165,.160,.031,.030,312,,,"$547,129",2012
117,Danny Lee,74,71.062,291.9,57.44,56.66,65.24,-.202,-.031,.230,.040,.037,226,,,"$359,112",2012
118,Bill Lunde,83,71.062,290.5,59.10,58.68,67.56,.052,.449,.044,-.241,.305,294,1,,"$593,598",2012
119,Brandt Jobe,57,71.064,299.2,62.48,53.71,64.68,.198,-.222,-.180,.257,.053,245,1,,"$344,332",2012
120,Camilo Villegas,79,71.079,290.3,62.01,54.50,69.55,.080,.208,-.117,-.343,-.174,267,,,"$491,729",2012
121,Stuart Appleby,75,71.095,283.3,65.45,60.44,64.79,-.003,-.437,.158,.154,-.128,287,,,"$377,559",2012
122,Aaron Baddeley,73,71.113,292.0,54.30,59.85,58.10,-.108,-.504,.152,.604,.143,770,3,,"$1,215,753",2012
123,Rory Sabbatini,84,71.125,287.4,61.04,58.67,62.24,.247,-.021,.129,-.370,-.014,602,2,,"$1,128,820",2012
124,Charley Hoffman,88,71.139,295.5,62.23,51.41,66.35,.334,.356,-.123,-.480,.087,916,2,,"$1,276,663",2012
125,Kyle Reifers,86,71.160,290.0,61.70,56.96,67.41,.056,.056,-.074,.021,.058,311,,,"$448,960",2012
