,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,POINTS,TOP 10,1ST,MONEY,Year
57,Ryan Moore,80,70.623,289.7,67.99,66.67,.299,.385,.687,613,6,,"2,374,823",2010
58,Chad Campbell,94,70.629,285.1,69.01,69.06,-.106,.750,.645,598,2,,"971,154",2010
59,Jeev Milkha Singh,59,70.631,287.3,60.94,65.28,-.045,.165,.118,253,1,,"420,245",2010
60,Stephen Ames,75,70.639,282.0,66.47,67.79,.375,.186,.553,866,1,,"916,527",2010
61,Briny Baird,87,70.639,282.0,65.45,69.41,-.026,.188,.169,458,1,,"753,577",2010
62,Graham DeLaet,88,70.645,305.7,64.74,71.27,-.360,.752,.396,393,3,,"954,011",2010
63,D.J. Trahan,92,70.661,301.1,61.40,71.26,-.467,.963,.494,"1,195",7,,"1,619,693",2010
64,Heath Slocum,97,70.673,278.9,72.42,69.59,-.259,.837,.580,"1,222",5,1,"2,387,687",2010
65,Webb Simpson,98,70.683,285.4,60.47,66.16,.370,-.200,.169,628,2,,"972,962",2010
66,Kevin Streelman,90,70.727,290.3,65.64,66.67,.044,.086,.130,583,5,,"1,472,349",2010
67,John Rollins,81,70.728,295.5,64.58,68.18,-.216,.710,.497,736,2,,"1,182,736",2010
68,Greg Chalmers,93,70.732,275.5,59.80,66.01,.772,-.424,.354,"1,113",2,,"989,415",2010
69,Ryuji Imada,90,70.753,278.7,63.11,64.51,.551,-.265,.286,720,4,,"1,028,869",2010
70,Brian Gay,101,70.756,266.4,74.00,63.44,.730,-.211,.518,"1,142",2,,"1,521,663",2010
71,Tom Pernice Jr.,74,70.757,280.0,66.95,69.78,-.165,.284,.121,331,1,,"662,730",2010
72,Geoff Ogilvy,62,70.764,287.0,57.94,67.69,.370,.364,.735,753,2,1,"2,393,045",2010
73,Marc Leishman,87,70.769,295.0,58.37,66.67,-.146,.563,.418,"1,268",2,,"1,488,837",2010
74,J.J. Henry,92,70.772,292.8,65.07,68.72,.217,.141,.360,603,2,,"1,035,688",2010
75,Vaughn Taylor,87,70.794,284.4,68.26,68.33,-.056,.446,.387,"1,495",6,,"1,838,861",2010
76,Ryan Palmer,84,70.824,295.8,57.23,65.48,.433,-.139,.294,595,5,1,"2,985,296",2010
77,Jarrod Lyle,54,70.835,296.2,63.40,65.34,.049,-.018,.027,227,2,,"422,760",2010
78,Scott Verplank,74,70.838,278.6,68.16,63.85,.034,.323,.360,813,3,,"1,653,190",2010
79,Kenny Perry,69,70.841,290.6,67.99,69.04,-.244,.645,.401,565,1,,"968,811",2010
80,Brett Wetterich,54,70.847,307.3,57.82,68.11,-.126,.230,.107,248,1,,"510,672",2010
81,Jeff Quinney,91,70.851,273.3,70.34,65.45,.388,-.427,-.039,378,2,,"605,866",2010
82,Boo Weekley,88,70.851,291.9,67.14,70.07,-.376,.558,.183,526,3,,"872,729",2010
83,Jason Bohn,84,70.856,279.8,66.89,67.79,.130,.303,.430,"1,079",2,1,"1,904,763",2010
84,Aron Price,70,70.856,284.6,67.23,70.49,.017,.241,.259,358,3,,"713,737",2010
85,Ben Curtis,78,70.871,275.5,70.07,68.02,.229,.004,.234,416,1,,"812,136",2010
86,Steve Marino,81,70.875,290.6,61.96,67.49,.261,.307,.567,778,3,,"1,479,239",2010
87,Alex Prugh,88,70.878,295.7,58.40,68.60,.202,-.112,.092,526,4,,"1,272,606",2010
88,Davis Love III,79,70.888,297.7,64.20,70.25,-.510,.680,.173,708,3,,"1,214,472",2010
89,Michael Sim,64,70.896,283.3,63.35,65.34,.518,-.283,.235,"1,244",3,,"1,338,926",2010
90,Michael Connell,89,70.900,281.3,63.40,66.94,.337,-.195,.142,314,2,,"846,459",2010
91,Charles Warren,64,70.917,302.5,65.93,71.74,-.411,.521,.109,116,3,,"574,616",2010
92,Will MacKenzie,72,70.918,290.8,66.33,68.52,-.448,.644,.202,267,1,,"557,504",2010
93,Ãngel Cabrera,64,70.919,304.5,54.49,65.78,-.148,.400,.249,"1,082",2,,"1,266,440",2010
94,Scott McCarron,90,70.940,288.6,67.36,65.80,.507,-.357,.155,354,1,,"642,543",2010
95,Chris Couch,66,70.948,292.4,65.87,66.50,.302,.002,.307,709,2,,"888,146",2010
96,Lucas Glover,75,70.949,295.7,62.84,67.42,-.115,.416,.297,770,3,,"1,511,275",2010
97,Michael Letzig,84,70.951,289.7,63.47,67.92,-.071,.112,.029,415,1,,"563,729",2010
98,Jimmy Walker,82,70.953,292.9,51.29,65.88,.252,-.155,.093,642,2,,"937,987",2010
99,Stuart Appleby,101,70.954,289.0,59.75,61.84,-.056,.189,.130,"1,157",3,1,"1,965,825",2010
100,James Driscoll,78,70.954,293.9,56.96,66.81,.315,-.255,.056,340,1,,"500,625",2010
101,Jerry Kelly,99,70.954,279.0,70.50,67.49,-.444,.658,.209,493,1,,"1,136,898",2010
102,D.A. Points,90,70.958,283.0,64.52,67.90,-.100,.302,.199,654,3,,"975,433",2010
103,Chris Stroud,90,70.966,287.2,62.98,69.31,.062,.169,.229,369,4,,"942,082",2010
104,J.P. Hayes,79,70.981,281.0,64.91,66.00,.027,-.057,-.035,652,3,,"862,523",2010
105,Chris DiMarco,88,70.983,279.0,70.13,67.39,-.058,.115,.052,286,1,,"409,205",2010
106,Matt Every,60,70.986,290.9,62.06,64.75,.240,-.310,-.073,322,1,,"456,847",2010
107,Andres Romero,73,70.986,296.0,55.05,65.07,.254,-.118,.136,853,2,,"979,170",2010
108,Tim Petrovic,105,70.992,278.7,67.37,66.35,-.006,.255,.249,937,2,,"1,028,960",2010
109,Aaron Baddeley,94,70.995,298.9,56.65,64.60,.509,-.294,.208,559,2,,"879,317",2010
110,Jason Dufner,87,71.018,281.9,69.24,66.67,-.600,.606,.006,"1,000",2,,"1,121,695",2010
111,Y.E. Yang,72,71.033,288.6,64.31,65.95,.188,-.019,.166,923,2,,"1,301,726",2010
112,Sergio Garcia,58,71.076,292.7,63.75,66.13,-.360,.424,.068,461,1,,"936,845",2010
113,Blake Adams,84,71.077,291.3,66.84,66.73,.196,-.432,-.233,556,2,,"963,593",2010
114,Brett Quigley,96,71.082,283.2,60.26,70.12,.078,-.014,.065,336,1,,"497,296",2010
115,Bob Estes,79,71.086,283.9,61.41,67.79,.014,-.064,-.048,432,2,,"701,158",2010
116,Mark Wilson,87,71.098,280.6,68.85,70.28,.139,-.134,.009,343,2,,"789,681",2010
117,John Merrick,109,71.102,291.4,66.71,70.24,-.126,.144,.019,459,1,,"658,815",2010
118,Johnson Wagner,85,71.113,282.4,62.59,68.24,.065,-.160,-.095,197,2,,"753,802",2010
119,Josh Teater,101,71.116,293.1,63.69,68.80,-.314,.206,-.109,754,2,,"1,005,323",2010
120,Woody Austin,93,71.121,281.1,66.48,67.92,-.063,.094,.034,394,3,,"727,352",2010
121,Kevin Stadler,86,71.149,290.2,62.96,67.95,-.275,.055,-.221,394,5,,"931,720",2010
122,Richard Johnson,90,71.156,277.3,70.92,68.50,.188,-.486,-.293,323,2,,"678,515",2010
123,Martin Laird,91,71.158,296.5,60.27,67.83,-.304,.448,.145,"1,005",4,,"2,137,928",2010
124,Garrett Willis,82,71.159,280.2,70.44,69.87,-.137,.085,-.053,517,1,,"871,763",2010
125,Trevor Immelman,55,71.162,286.4,64.07,66.06,.074,-.401,-.324,266,,,"422,171",2010
126,Tim Herron,79,71.171,291.7,53.49,66.51,.171,-.400,-.227,234,,,"391,502",2010
127,Lee Janzen,77,71.194,287.7,59.91,67.68,-.302,.101,-.199,280,1,,"603,195",2010
128,Scott Piercy,88,71.196,296.8,56.03,67.74,.215,-.220,-.004,380,2,,"676,432",2010
129,George McNeill,79,71.207,293.4,54.34,66.03,.319,-.296,.028,338,1,,"664,854",2010
130,Ian Poulter,55,71.211,286.8,62.72,62.47,.213,-.542,-.335,"1,396",2,1,"2,079,664",2010
131,Alex Cejka,81,71.219,277.4,70.31,66.60,-.466,.396,-.073,489,4,,"904,253",2010
132,Chris Tidland,77,71.255,288.1,63.08,66.36,.231,-.239,-.004,271,2,,"588,291",2010
133,Robert Garrigus,71,71.264,315.5,55.73,67.61,-.164,-.090,-.269,469,3,1,"1,583,275",2010
134,John Mallinger,78,71.270,280.4,69.34,67.11,.051,-.228,-.175,342,1,,"684,687",2010
135,James Nitties,92,71.277,286.2,65.69,66.47,.133,-.388,-.262,338,1,,"525,034",2010
136,Jay Williamson,76,71.290,285.1,69.87,68.95,-.174,-.066,-.221,280,1,,"404,498",2010
137,Joe Ogilvie,99,71.296,285.9,59.32,66.07,.096,-.338,-.249,454,1,,"641,797",2010
138,Troy Matteson,84,71.310,296.3,60.36,71.43,-.445,.287,-.157,575,2,,"736,060",2010
139,Rocco Mediate,71,71.341,278.1,68.27,69.32,-.543,.378,-.164,150,1,1,"1,138,067",2010
140,Rory Sabbatini,79,71.366,289.1,60.28,66.74,-.202,.358,.160,"1,197",3,,"1,546,808",2010
141,Kris Blanks,91,71.371,286.4,66.87,71.15,-.568,.408,-.161,794,3,,"1,109,178",2010
142,Brian Davis,101,71.376,278.9,68.35,63.09,-.249,.067,-.181,"1,149",2,,"1,640,516",2010
143,Cameron Beckman,68,71.395,285.7,63.72,66.15,-.297,-.253,-.545,427,3,1,"1,158,485",2010
144,Cliff Kresge,50,71.417,283.2,68.59,66.67,-.573,.083,-.488,91,,,"199,584",2010
145,Nathan Green,86,71.421,279.5,61.00,63.18,.339,-.592,-.254,414,1,,"636,180",2010
146,Billy Mayfair,78,71.426,284.0,70.29,69.68,-1.008,.543,-.467,314,2,,"642,231",2010
147,Jeff Maggert,76,71.445,279.1,67.55,66.75,-.357,-.384,-.741,463,2,,"801,579",2010
148,Troy Merritt,86,71.486,288.2,59.37,65.48,.512,-.954,-.437,331,1,,"786,977",2010
149,Michael Bradley,77,71.498,281.5,60.37,68.65,-.084,-.310,-.392,306,,,"360,845",2010
150,Rod Pampling,77,71.501,283.5,65.45,64.94,-.247,-.067,-.314,275,,,"299,264",2010
151,Steve Wheatcroft,74,71.530,287.1,64.12,63.47,.211,-.833,-.626,213,1,,"408,595",2010
152,Paul Goydos,78,71.532,273.6,70.58,65.95,-.158,-.175,-.331,602,3,,"1,121,250",2010
153,Mike Weir,59,71.571,273.9,53.83,57.89,-.018,-.221,-.241,360,1,,"559,092",2010
