,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,POINTS,TOP 10,1ST,MONEY,Year
59,John Rollins,85,70.584,296.7,66.84,69.08,-.101,.773,.671,616,4,,"$1,370,566",2011
60,Chris Couch,73,70.595,296.8,64.96,64.99,.397,.052,.450,573,3,,"$922,496",2011
61,Greg Chalmers,88,70.596,279.6,62.42,61.24,.635,-.215,.420,692,2,,"$832,191",2011
62,Vijay Singh,79,70.610,294.3,59.67,66.46,-.131,.730,.600,548,5,,"$2,371,050",2011
63,D.A. Points,89,70.621,287.4,66.45,64.92,.227,.071,.297,"1,140",3,1,"$2,034,156",2011
64,Bubba Watson,85,70.625,314.9,56.92,69.83,-.182,.775,.593,578,3,2,"$3,477,811",2011
65,Tim Herron,85,70.634,291.8,57.29,65.64,.148,-.026,.122,456,3,,"$909,135",2011
66,Johnson Wagner,81,70.654,282.2,67.35,67.17,.427,-.370,.057,842,1,1,"$1,224,556",2011
67,J.J. Henry,96,70.671,291.1,66.43,68.96,.139,.233,.372,739,1,,"$873,377",2011
68,Ãngel Cabrera,50,70.696,301.6,54.97,63.89,.509,-.337,.172,237,3,,"$628,079",2011
69,Blake Adams,116,70.700,292.1,65.79,65.48,.475,-.064,.411,985,4,,"$1,100,558",2011
70,Stewart Cink,72,70.700,291.8,56.58,64.31,.169,.501,.670,556,1,,"$909,162",2011
71,David Hearn,88,70.709,290.9,63.36,68.82,.223,-.001,.222,377,3,,"$869,072",2011
72,William McGirt,103,70.726,289.9,60.78,68.63,.185,-.023,.162,674,,,"$532,933",2011
73,Aron Price,58,70.729,282.6,70.29,67.09,.094,.186,.280,272,,,"$333,290",2011
74,Retief Goosen,50,70.731,289.9,61.44,64.40,.244,.162,.405,444,1,,"$796,360",2011
75,Steve Marino,76,70.735,295.2,60.98,65.79,.089,.476,.565,"1,262",3,,"$1,975,076",2011
76,Chez Reavie,92,70.744,293.5,67.32,68.60,-.077,.497,.419,"1,220",5,,"$2,285,067",2011
77,Billy Mayfair,94,70.747,283.3,70.41,68.77,-.237,.621,.385,353,2,,"$780,578",2011
78,Cameron Tringale,110,70.751,294.3,60.99,67.30,.197,.042,.239,"1,002",4,,"$1,327,807",2011
79,Charlie Wi,83,70.757,285.8,61.35,63.65,.808,-.502,.305,711,1,,"$1,188,494",2011
80,Anthony Kim,72,70.775,294.2,46.99,61.58,.239,-.310,-.071,702,2,,"$1,085,846",2011
81,Jonathan Byrd,83,70.783,291.6,60.33,65.65,.116,.354,.469,565,5,1,"$2,938,920",2011
82,Scott Piercy,78,70.792,305.4,56.81,65.84,.242,.104,.346,885,3,1,"$1,250,957",2011
83,George McNeill,69,70.797,295.0,59.95,64.21,-.018,.016,-.002,889,4,,"$1,458,110",2011
84,Nick O'Hern,89,70.800,276.3,71.67,66.67,-.056,.518,.462,463,4,,"$940,224",2011
85,Jeff Overton,92,70.802,295.3,60.46,64.53,.154,.042,.196,619,4,,"$1,290,962",2011
86,Rod Pampling,72,70.803,291.6,66.70,65.89,.130,.366,.497,385,2,,"$668,768",2011
87,Padraig Harrington,60,70.809,294.7,52.98,64.12,.237,.007,.245,625,3,,"$802,839",2011
88,Sean O'Hair,71,70.810,294.6,55.78,63.17,-.253,.164,-.089,"1,102",1,1,"$1,483,948",2011
89,Tommy Gainey,104,70.814,296.7,58.97,67.00,.112,.158,.270,"1,009",7,,"$2,174,191",2011
90,Ian Poulter,52,70.824,282.8,64.76,65.58,.270,-.032,.238,639,1,,"$739,926",2011
91,Hunter Haas,96,70.826,288.5,63.76,66.24,.364,-.082,.282,499,4,,"$1,039,987",2011
92,Pat Perez,76,70.826,291.4,63.64,65.42,.221,.271,.492,751,4,,"$1,295,253",2011
93,Chris Stroud,88,70.838,291.2,60.03,67.00,-.155,.212,.057,"1,013",2,,"$1,096,499",2011
94,Ben Curtis,66,70.839,276.7,71.91,65.82,.239,-.049,.190,304,,,"$423,466",2011
95,Ryan Palmer,82,70.847,299.5,53.76,63.75,-.047,-.078,-.125,"1,159",3,,"$1,850,530",2011
96,Sung Kang,63,70.849,294.2,61.82,64.78,-.042,-.143,-.184,219,2,,"$702,382",2011
97,Shane Bertsch,62,70.869,280.1,67.05,64.38,.146,.220,.367,207,2,,"$488,584",2011
98,D.J. Trahan,91,70.870,298.6,59.81,68.99,-.815,.984,.169,474,1,,"$668,166",2011
99,Michael Bradley,74,70.877,290.7,57.03,67.62,-.196,.110,-.086,454,1,1,"$935,934",2011
100,Harrison Frazar,58,70.891,301.8,51.49,62.45,-.386,.121,-.266,713,1,1,"$1,322,267",2011
101,David Mathis,83,70.899,282.0,66.82,64.29,.215,-.120,.095,326,1,,"$715,404",2011
102,Chris DiMarco,93,70.909,277.9,66.67,65.11,-.145,.123,-.021,499,,,"$761,932",2011
103,Vaughn Taylor,89,70.909,284.1,64.22,66.04,.153,-.076,.077,397,,,"$423,907",2011
104,Robert Garrigus,83,70.931,313.4,52.97,66.13,-.384,.523,.139,759,3,,"$1,503,923",2011
105,Michael Thompson,79,70.942,291.0,60.14,65.30,.448,-.499,-.052,413,2,,"$935,265",2011
106,Woody Austin,59,70.943,287.6,66.21,66.88,.037,.450,.487,221,1,,"$354,042",2011
107,Marc Leishman,87,70.948,296.0,54.41,64.43,-.099,.125,.026,947,2,,"$916,330",2011
108,Kris Blanks,92,70.952,284.9,63.11,68.89,-.440,.592,.152,694,3,,"$1,350,010",2011
109,Jhonattan Vegas,84,70.966,304.9,54.65,67.22,-.315,.143,-.172,"1,149",3,1,"$1,854,414",2011
110,Heath Slocum,89,70.988,281.9,74.92,71.40,-.493,.457,-.036,388,,,"$767,216",2011
111,Michael Putnam,67,70.989,297.2,54.72,64.37,.423,-.585,-.162,300,,,"$398,400",2011
112,Graeme McDowell,50,70.997,289.5,66.31,66.08,.132,.066,.197,765,3,,"$1,088,898",2011
113,Kent Jones,76,71.001,285.0,66.13,66.12,.028,-.205,-.177,297,,,"$360,624",2011
114,Justin Leonard,82,71.002,280.1,65.29,64.91,-.110,.011,-.099,328,1,,"$952,962",2011
115,Brendan Steele,89,71.019,292.8,64.83,65.45,-.060,.054,-.006,"1,160",3,1,"$1,976,310",2011
116,Camilo Villegas,69,71.024,294.4,57.98,62.50,-.194,.284,.091,"1,532",4,,"$1,231,918",2011
117,Scott Stallings,84,71.036,303.7,56.91,66.60,-.154,.213,.059,"1,125",2,1,"$1,957,162",2011
118,Bill Lunde,92,71.046,291.5,61.11,69.38,.003,.057,.060,668,,,"$639,548",2011
119,Josh Teater,104,71.057,302.3,61.48,66.89,-.089,.174,.085,513,2,,"$769,324",2011
120,Ernie Els,71,71.062,288.1,60.10,69.89,-.705,.865,.160,924,1,,"$948,872",2011
121,Charley Hoffman,93,71.097,299.8,60.34,66.79,-.256,.782,.525,"1,369",2,,"$1,462,591",2011
122,Ryuji Imada,83,71.115,283.4,60.36,64.26,-.157,.040,-.117,617,2,,"$990,319",2011
123,Steve Flesch,88,71.119,282.5,61.43,59.85,.320,-.575,-.255,352,1,,"$594,622",2011
124,Stephen Ames,69,71.121,283.8,67.44,65.30,.012,-.274,-.262,298,2,,"$547,589",2011
125,Scott McCarron,65,71.127,291.6,64.63,60.75,.519,-.866,-.347,221,1,,"$436,270",2011
126,Tom Gillis,55,71.134,290.1,64.11,66.36,-.436,-.137,-.573,431,2,,"$814,147",2011
127,Chris Riley,76,71.143,279.3,70.19,64.81,-.292,.201,-.091,292,1,,"$397,204",2011
128,Paul Stankowski,78,71.165,283.9,59.05,65.20,.324,-.345,-.020,207,,,"$290,211",2011
129,Boo Weekley,66,71.176,296.6,66.74,71.68,-1.100,.818,-.282,223,,,"$279,531",2011
130,Alex Cejka,59,71.178,280.3,66.42,66.10,-.665,.527,-.138,303,,,"$344,902",2011
131,Troy Matteson,91,71.184,300.2,58.83,65.64,-.150,-.013,-.162,547,2,,"$946,989",2011
132,Dean Wilson,62,71.195,276.8,65.27,62.63,.492,-.712,-.220,318,,,"$401,314",2011
133,Joe Ogilvie,75,71.215,291.6,56.62,62.60,.167,-.473,-.306,379,1,,"$726,866",2011
134,Steven Bowditch,86,71.221,308.3,55.12,63.62,.161,-.429,-.267,347,1,,"$621,378",2011
135,Kevin Chappell,78,71.221,295.8,59.00,64.89,-.501,.187,-.314,673,3,,"$1,339,640",2011
136,Alexandre Rocha,65,71.262,290.9,62.23,68.23,-.001,-.374,-.375,127,,,"$225,026",2011
137,James Driscoll,71,71.277,298.5,55.79,63.50,-.025,-.184,-.209,353,2,,"$741,010",2011
138,Kevin Stadler,88,71.295,293.2,63.25,68.06,-.426,.208,-.218,444,1,,"$768,172",2011
139,Nathan Green,81,71.298,285.0,59.44,62.34,.108,-.501,-.394,209,,,"$312,109",2011
140,Tag Ridings,87,71.325,303.3,56.99,63.58,.066,-.302,-.237,286,,,"$382,670",2011
141,Michael Connell,76,71.326,279.5,65.79,63.82,-.097,-.327,-.425,233,,,"$309,362",2011
142,Tim Petrovic,88,71.326,280.5,64.73,62.17,.177,-.296,-.119,326,,,"$428,011",2011
143,Jason Bohn,74,71.336,284.9,67.48,67.30,-.069,-.075,-.144,284,,,"$411,943",2011
144,Jim Renner,65,71.372,296.8,59.10,65.01,.149,-.261,-.111,149,2,,"$392,945",2011
145,Jim Herman,69,71.377,301.7,56.98,67.94,-.344,.165,-.180,160,,,"$196,845",2011
146,Ben Martin,74,71.419,289.5,63.43,64.76,.406,-.681,-.275,242,1,,"$340,080",2011
147,Joe Durant,71,71.428,283.6,75.65,71.26,-.861,.629,-.233,260,,,"$358,790",2011
148,Arjun Atwal,91,71.444,284.8,56.31,63.25,.044,-.453,-.409,459,1,,"$690,237",2011
149,Garrett Willis,71,71.458,279.7,67.85,64.41,-.031,-.247,-.278,270,1,,"$526,390",2011
150,Roland Thatcher,67,71.478,293.1,61.16,64.26,.194,-.685,-.491,302,2,,"$666,371",2011
151,Billy Horschel,75,71.512,291.0,66.22,67.07,-.024,-.168,-.192,197,2,,"$533,024",2011
152,Matt Jones,71,71.517,293.9,55.52,62.36,.002,-.379,-.377,328,1,,"$602,392",2011
153,Lee Janzen,62,71.525,290.1,63.04,63.10,.170,-.613,-.443,168,,,"$216,993",2011
154,Marc Turnesa,54,71.533,282.8,62.93,65.60,.219,-.585,-.365,175,1,,"$299,405",2011
155,Stuart Appleby,65,71.554,287.5,58.20,61.62,-.184,-.479,-.663,387,1,,"$657,150",2011
156,Scott Gutschewski,67,71.582,298.0,58.06,62.62,-.638,-.029,-.667,125,,,"$229,758",2011
157,Steve Elkington,50,71.598,285.4,69.58,66.44,.312,-.653,-.340,107,1,,"$176,225",2011
158,Bobby Gates,82,71.616,297.4,60.10,64.71,-.452,-.445,-.898,256,3,,"$666,735",2011
159,Jarrod Lyle,83,71.617,286.1,58.86,61.95,-.163,-.657,-.820,217,1,,"$317,459",2011
160,Andres Gonzales,60,71.634,293.1,61.49,64.42,.143,-.795,-.652,93,,,"$186,847",2011
161,Matt McQuillan,59,71.635,285.4,64.45,62.63,.436,-.520,-.084,280,3,,"$582,933",2011
162,FabiÃ¡n GÃ³mez,84,71.639,288.4,63.08,65.20,-.117,-.485,-.602,208,1,,"$381,730",2011
163,Cameron Beckman,71,71.642,284.3,61.05,63.18,-.112,-.541,-.653,324,,,"$455,085",2011
164,Shaun Micheel,77,71.675,286.1,55.71,63.01,.138,-.713,-.575,160,,,"$206,450",2011
165,Matt Bettencourt,84,71.689,288.3,56.51,62.10,.079,-.845,-.766,461,2,,"$692,545",2011
166,Bio Kim,71,71.696,296.1,52.87,59.49,.033,-.886,-.854,179,,,"$345,588",2011
167,Joseph Bramlett,73,71.714,295.6,59.54,65.21,-.581,.111,-.470,110,,,"$178,728",2011
168,Paul Goydos,81,71.722,274.8,69.00,64.47,-.628,.034,-.594,474,4,,"$1,385,328",2011
169,Colt Knost,80,71.747,279.0,66.02,62.01,.271,-.938,-.667,227,,,"$296,817",2011
170,D.J. Brigman,67,71.803,290.2,55.27,60.92,-.245,-.808,-1.053,140,,,"$191,491",2011
171,Nate Smith,66,71.833,281.2,60.98,61.57,.411,-1.293,-.883,110,,,"$154,814",2011
172,Kevin Kisner,70,71.858,284.3,60.96,60.59,.139,-1.044,-.906,116,,,"$270,170",2011
173,David Duval,67,71.873,296.3,51.88,64.10,-.364,-.437,-.801,191,1,,"$400,654",2011
174,Zack Miller,86,71.890,299.5,57.06,61.79,-.483,-.568,-1.051,290,1,,"$427,341",2011
175,Richard Johnson,64,71.902,276.6,63.46,63.41,.117,-1.161,-1.044,144,,,"$212,106",2011
176,Alex Prugh,82,71.904,298.6,57.35,65.95,-.582,-.375,-.958,209,,,"$292,070",2011
177,Justin Hicks,60,72.008,286.0,69.88,65.71,-.955,-.461,-1.416,145,,,"$284,990",2011
178,J.P. Hayes,56,72.048,282.7,64.36,61.52,.024,-.552,-.528,147,,,"$186,769",2011
179,Troy Merritt,63,72.083,286.8,62.04,64.12,-.334,-.697,-1.031,131,,,"$151,475",2011
180,Will Strickler,51,72.177,304.1,57.38,62.06,.294,-1.294,-1.000,84,,,"$109,031",2011
181,Daniel Summerhays,75,72.487,284.9,62.83,63.24,-.292,-1.288,-1.581,210,,,"$301,899",2011
182,Martin Piller,63,72.542,292.2,54.00,61.02,.208,-1.559,-1.351,120,,,"$140,958",2011
183,Derek Lamely,65,72.606,297.9,50.57,62.87,-.321,-1.062,-1.383,123,,,"$301,146",2011
184,Rich Beem,53,72.760,286.1,63.87,61.95,-.592,-.689,-1.281,78,,,"$135,225",2011
185,Rocco Mediate,53,72.975,275.5,68.91,62.16,-.621,-.900,-1.522,85,,,"$136,299",2011
0,Rory McIlroy,60,68.873,310.1,56.61,66.36,.058,2.347,2.406,"2,827",10,4,"$8,047,952",2012
1,Tiger Woods,69,68.904,297.4,63.93,67.58,.339,1.971,2.310,"2,663",9,3,"$6,133,158",2012
2,Jim Furyk,85,69.304,280.0,70.71,68.19,.423,1.329,1.752,790,8,,"$3,623,805",2012
3,Jason Dufner,83,69.456,292.4,66.90,69.17,.153,1.293,1.446,853,8,2,"$4,869,304",2012
4,Matt Kuchar,86,69.477,286.2,65.06,65.38,.472,.910,1.382,707,9,1,"$3,903,065",2012
5,Adam Scott,59,69.533,304.6,59.61,66.57,-.138,1.302,1.164,560,5,,"$2,899,557",2012
6,Justin Rose,69,69.549,290.9,65.82,70.34,-.122,1.762,1.640,"1,770",8,1,"$4,290,930",2012
7,Dustin Johnson,70,69.564,310.2,56.30,65.75,.185,1.324,1.509,"1,527",9,1,"$3,393,820",2012
8,Bubba Watson,68,69.639,315.5,58.84,69.95,-.280,1.809,1.529,"1,005",7,1,"$4,644,997",2012
9,Luke Donald,63,69.687,280.1,65.16,64.96,.818,.824,1.641,"1,275",8,1,"$3,512,024",2012
10,Louis Oosthuizen,65,69.707,299.5,62.41,68.78,-.004,.980,.976,"1,635",5,,"$3,460,995",2012
11,Bo Van Pelt,84,69.718,296.1,64.79,67.07,.542,.895,1.437,647,10,,"$3,043,509",2012
12,Padraig Harrington,67,69.736,293.6,59.86,62.17,-.020,.908,.888,"1,213",3,,"$1,546,272",2012
13,Zach Johnson,95,69.821,281.1,68.53,64.95,.568,.629,1.197,"1,073",6,2,"$4,504,244",2012
14,Brandt Snedeker,81,69.840,288.7,60.50,63.75,.860,.150,1.010,"4,100",7,2,"$4,989,739",2012
15,Steve Stricker,73,69.865,285.4,63.31,68.33,.134,1.161,1.295,685,7,1,"$3,420,021",2012
16,Sergio Garcia,57,69.928,292.4,61.15,64.98,.400,.704,1.104,733,3,1,"$2,510,116",2012
17,Keegan Bradley,90,69.984,302.7,61.65,66.54,.330,.791,1.122,655,5,1,"$3,910,658",2012
18,Carl Pettersson,92,70.013,297.1,57.63,63.89,.444,.424,.867,613,6,1,"$3,538,656",2012
19,Phil Mickelson,79,70.030,294.4,54.31,64.14,.562,.860,1.422,"2,073",7,1,"$4,203,821",2012
20,Webb Simpson,77,70.040,288.6,61.47,67.47,.211,.912,1.123,785,7,1,"$3,436,758",2012
21,John Senden,81,70.050,291.0,65.93,68.59,.039,.960,1.000,445,5,,"$1,916,651",2012
22,Robert Garrigus,89,70.066,310.3,56.58,69.23,-.225,1.212,.988,637,8,,"$3,206,530",2012
23,Lee Westwood,60,70.084,298.1,62.17,69.75,-.359,1.143,.784,"1,205",7,,"$3,016,569",2012
24,Ernie Els,80,70.131,294.6,56.71,66.52,-.050,.727,.677,510,5,1,"$3,453,118",2012
25,Brendon de Jonge,115,70.137,288.8,63.42,69.17,.144,.939,1.083,"1,065",4,,"$2,015,252",2012
26,Jason Day,57,70.152,308.6,52.48,61.31,.526,.498,1.024,712,4,,"$1,143,233",2012
27,Vijay Singh,99,70.156,295.4,61.62,66.22,-.404,1.167,.763,"1,406",5,,"$1,586,305",2012
28,Ian Poulter,57,70.176,285.0,65.13,61.61,.103,.461,.564,"1,280",4,1,"$1,715,271",2012
29,Davis Love III,64,70.194,296.3,59.11,65.02,.063,.803,.867,443,3,,"$989,753",2012
30,Jeff Overton,101,70.197,292.0,61.91,66.32,.293,.590,.883,"1,199",4,,"$1,563,670",2012
31,Graeme McDowell,55,70.229,285.5,70.11,66.26,-.282,.654,.372,"1,222",4,,"$2,408,279",2012
32,Henrik Stenson,51,70.239,289.5,64.13,65.37,.105,.809,.915,462,1,,"$791,107",2012
33,Jonas Blixt,72,70.244,286.3,58.90,63.65,.804,.257,1.062,820,5,1,"$2,255,695",2012
34,Ryan Palmer,81,70.252,303.1,57.95,65.16,.453,.550,1.003,"1,070",4,,"$1,501,215",2012
35,Seung-Yul Noh,105,70.256,300.4,59.34,67.41,.142,.579,.721,"1,379",3,,"$1,629,751",2012
36,Charl Schwartzel,56,70.281,295.8,61.41,62.65,.084,.840,.925,"1,041",2,,"$1,138,844",2012
37,Ryan Moore,89,70.300,287.6,65.75,66.35,.424,.424,.847,"1,105",8,1,"$2,858,944",2012
38,Hunter Mahan,88,70.346,293.1,67.74,68.97,-.109,.650,.541,693,5,2,"$4,019,193",2012
39,Will Claxton,99,70.369,290.4,65.36,69.06,-.167,.679,.512,530,2,,"$780,969",2012
40,Ken Duke,104,70.376,282.6,65.69,64.61,.349,.305,.654,776,6,,"$1,511,628",2012
41,Pat Perez,81,70.378,291.5,62.33,65.05,.160,.603,.763,"1,073",1,,"$1,064,053",2012
42,John Huh,99,70.384,288.3,68.69,66.44,.167,.397,.564,460,4,1,"$2,692,113",2012
43,Charles Howell III,98,70.385,294.6,54.60,66.61,.054,.625,.679,733,2,,"$1,284,578",2012
44,Scott Piercy,95,70.409,304.5,56.06,65.73,.221,.635,.857,483,4,1,"$2,699,205",2012
45,Greg Chalmers,88,70.417,282.0,62.00,59.83,.506,.136,.642,"1,402",1,,"$1,166,627",2012
46,Bob Estes,78,70.418,285.2,60.72,62.39,.074,.288,.362,"1,058",2,,"$1,009,769",2012
47,Roberto Castro,92,70.434,290.6,65.36,68.41,.048,.543,.591,772,1,,"$755,095",2012
48,Geoff Ogilvy,73,70.436,290.1,62.01,63.66,.238,.453,.691,"1,164",1,,"$1,255,223",2012
49,Greg Owen,90,70.444,295.9,60.16,68.58,-.416,.714,.298,704,3,,"$1,151,622",2012
50,Bud Cauley,99,70.458,291.6,60.33,66.55,.065,.655,.721,"1,342",6,,"$1,774,479",2012
51,Bill Haas,79,70.484,292.2,63.62,65.17,.103,.564,.668,"1,471",3,1,"$2,349,951",2012
52,Billy Horschel,63,70.494,290.2,66.58,68.79,-.068,.459,.391,289,1,,"$486,177",2012
53,Kevin Stadler,85,70.525,292.9,65.09,67.75,-.263,.702,.439,"1,403",5,,"$1,546,036",2012
54,Ben Curtis,62,70.538,274.8,69.70,68.87,.505,.401,.906,"1,230",3,1,"$2,494,153",2012
55,Martin Flores,95,70.538,295.0,53.58,63.98,.656,-.238,.419,562,2,,"$1,035,569",2012
56,Jimmy Walker,101,70.556,296.5,52.74,64.30,.427,.120,.547,"1,033",6,,"$1,638,419",2012
57,Freddie Jacobson,61,70.561,287.4,57.98,61.85,-.145,.254,.109,513,1,,"$953,494",2012
58,Chad Campbell,84,70.566,290.1,60.19,67.13,-.425,.708,.283,517,3,,"$895,199",2012
59,Nick Watney,97,70.577,296.8,58.86,66.43,-.028,.563,.536,"2,215",5,1,"$3,044,224",2012
60,Blake Adams,107,70.586,288.4,65.83,65.91,.232,.124,.356,674,3,,"$1,234,345",2012
61,Rickie Fowler,84,70.606,293.2,64.43,64.99,-.202,.720,.518,475,5,1,"$3,066,293",2012
62,Sean O'Hair,84,70.615,297.5,59.98,68.25,-.286,.654,.368,744,2,,"$1,160,981",2012
63,John Rollins,81,70.618,295.4,64.25,66.16,-.034,.465,.431,800,5,,"$1,489,155",2012
64,Graham DeLaet,79,70.624,304.3,60.36,66.74,-.278,.600,.322,"1,085",3,,"$1,051,951",2012
65,Kyle Stanley,86,70.633,306.9,59.49,67.06,-.797,1.181,.384,"1,492",2,1,"$2,351,857",2012
66,Kevin Na,80,70.634,281.5,65.91,62.03,.193,.252,.445,"1,095",6,,"$2,029,943",2012
67,Harris English,98,70.688,300.3,59.47,67.74,.175,.123,.299,762,3,,"$1,186,003",2012
68,Tim Clark,60,70.697,276.7,71.60,64.26,-.121,.422,.301,"1,065",3,,"$1,407,028",2012
69,Charlie Wi,86,70.697,285.6,61.65,59.69,.279,.004,.283,"1,043",4,,"$1,845,397",2012
70,John Mallinger,74,70.699,281.4,67.93,66.51,-.086,.305,.218,543,3,,"$1,146,852",2012
71,John Merrick,83,70.701,293.3,64.46,69.13,-.193,.385,.191,814,2,,"$1,084,628",2012
72,Ben Crane,73,70.708,286.8,64.36,64.81,.432,.160,.591,991,4,,"$1,701,365",2012
73,Michael Thompson,80,70.718,283.4,59.43,63.26,.355,-.250,.106,671,3,,"$1,408,374",2012
74,Daniel Summerhays,81,70.722,289.3,61.93,67.68,-.053,.178,.126,573,4,,"$1,111,522",2012
75,William McGirt,96,70.729,285.4,60.58,66.30,.282,-.029,.253,"1,125",3,,"$1,228,947",2012
76,David Toms,60,70.740,275.5,69.75,66.09,-.141,.331,.191,623,5,,"$1,658,428",2012
77,Jonathan Byrd,69,70.753,289.5,57.88,63.64,.262,.244,.506,736,5,,"$1,616,789",2012
78,Brian Gay,91,70.767,277.7,62.10,62.71,.704,-.556,.148,491,3,,"$960,658",2012
79,Spencer Levin,81,70.776,283.7,57.30,60.97,.330,-.069,.262,735,3,,"$1,283,616",2012
80,Tim Herron,88,70.781,289.4,59.93,67.36,-.174,.508,.334,339,2,,"$660,279",2012
81,Matt Every,80,70.789,285.5,60.89,66.23,.096,.516,.613,979,6,,"$1,972,166",2012
82,David Hearn,95,70.802,286.7,62.25,66.32,.261,-.001,.261,967,2,,"$1,012,575",2012
83,Brian Davis,91,70.807,277.1,67.24,63.47,.370,.224,.594,728,4,,"$1,318,032",2012
84,Richard Lee,71,70.809,285.6,68.72,68.29,.189,-.010,.179,262,1,,"$547,733",2012
85,Tom Gillis,75,70.812,289.0,66.09,63.85,.217,.122,.339,"1,277",3,,"$1,238,058",2012
86,Gary Christian,91,70.820,281.9,68.95,66.99,-.077,.226,.149,529,1,,"$616,457",2012
87,Brian Harman,101,70.821,290.3,65.44,63.92,.132,.068,.199,"1,122",1,,"$1,146,448",2012
88,Kevin Streelman,89,70.821,292.8,61.63,66.22,-.054,.322,.268,462,3,,"$893,736",2012
89,Marc Leishman,84,70.831,289.4,55.20,62.76,-.331,.543,.212,"1,165",2,1,"$1,933,761",2012
90,Ryo Ishikawa,54,70.854,290.0,53.28,59.61,.196,-.234,-.038,,2,,,2012
91,Dicky Pride,62,70.871,285.9,61.38,64.51,.130,-.221,-.090,884,3,,"$1,259,712",2012
92,Chris Stroud,86,70.878,286.6,62.31,63.37,.082,.040,.121,484,2,,"$903,570",2012
93,John Daly,50,70.879,306.7,55.78,62.08,.192,-.598,-.406,298,1,,"$488,505",2012
94,Jeff Maggert,83,70.883,285.3,67.16,65.66,-.127,.158,.030,437,1,,"$682,742",2012
95,K.J. Choi,71,70.886,282.3,64.08,63.57,-.344,.599,.255,602,2,,"$969,057",2012
96,Kevin Chappell,91,70.890,293.3,56.73,64.11,-.262,.181,-.081,447,1,,"$647,510",2012
97,Chris Kirk,93,70.891,291.8,59.70,66.60,-.195,.439,.244,"1,152",4,,"$1,197,562",2012
98,Johnson Wagner,88,70.899,284.0,62.32,65.91,.346,.039,.385,"1,386",4,1,"$2,225,007",2012
99,Russell Knox,72,70.905,285.8,67.03,69.36,.000,.179,.179,164,2,,"$512,584",2012
100,Heath Slocum,93,70.911,278.9,71.69,67.84,-.554,.518,-.035,365,,,"$518,198",2012
101,J.B. Holmes,90,70.924,309.7,54.40,64.50,-.057,.553,.496,"1,153",2,,"$1,179,505",2012
102,J.J. Henry,93,70.939,288.1,63.18,68.24,-.054,.309,.255,760,3,1,"$1,297,802",2012
103,D.A. Points,88,70.946,284.0,64.66,66.48,-.109,.394,.284,"1,027",3,,"$1,533,361",2012
104,Billy Mayfair,90,70.948,286.8,65.20,64.02,-.205,.128,-.077,500,1,,"$619,961",2012
105,Josh Teater,97,70.953,298.6,61.30,67.50,-.209,.338,.128,803,4,,"$1,011,430",2012
106,Jerry Kelly,84,70.955,276.1,73.00,65.63,-.077,.010,-.067,385,1,,"$645,701",2012
107,Boo Weekley,74,70.966,296.8,65.15,69.53,-1.055,.973,-.082,365,3,,"$848,347",2012
108,Chris Couch,61,70.977,293.8,65.49,63.65,.083,.041,.125,242,,,"$335,848",2012
109,Martin Laird,77,70.989,298.2,59.16,65.30,.099,.449,.549,"1,024",3,,"$2,172,883",2012
110,Nathan Green,73,70.991,283.8,58.97,66.92,.248,-.348,-.100,245,1,,"$366,651",2012
111,Y.E. Yang,64,71.005,284.9,61.06,58.51,.516,-.663,-.146,351,,,"$454,276",2012
112,George McNeill,85,71.011,288.8,61.14,63.03,.238,-.226,.013,724,1,1,"$1,119,535",2012
113,Cameron Tringale,88,71.023,290.4,64.41,66.60,.102,.254,.356,689,4,,"$1,225,737",2012
114,Bryce Molder,83,71.028,277.5,61.59,64.91,.666,-.345,.321,"1,023",2,,"$1,166,115",2012
115,Rod Pampling,88,71.038,288.8,62.72,64.93,-.153,.133,-.020,505,1,,"$620,893",2012
116,Vaughn Taylor,81,71.059,286.0,60.59,66.30,.031,-.001,.030,312,,,"$547,129",2012
117,Danny Lee,74,71.062,291.9,57.44,65.24,.040,-.003,.037,226,,,"$359,112",2012
118,Bill Lunde,83,71.062,290.5,59.10,67.56,-.241,.546,.305,294,1,,"$593,598",2012
119,Brandt Jobe,57,71.064,299.2,62.48,64.68,.257,-.204,.053,245,1,,"$344,332",2012
120,Camilo Villegas,79,71.079,290.3,62.01,69.55,-.343,.170,-.174,267,,,"$491,729",2012
121,Stuart Appleby,75,71.095,283.3,65.45,64.79,.154,-.282,-.128,287,,,"$377,559",2012
122,Aaron Baddeley,73,71.113,292.0,54.30,58.10,.604,-.461,.143,770,3,,"$1,215,753",2012
123,Rory Sabbatini,84,71.125,287.4,61.04,62.24,-.370,.356,-.014,602,2,,"$1,128,820",2012
124,Charley Hoffman,88,71.139,295.5,62.23,66.35,-.480,.567,.087,916,2,,"$1,276,663",2012
125,Kyle Reifers,86,71.160,290.0,61.70,67.41,.021,.038,.058,311,,,"$448,960",2012
126,Ricky Barnes,92,71.163,292.0,58.10,67.36,-.488,.285,-.203,696,1,,"$805,408",2012
127,Garth Mulroy,59,71.192,293.7,60.10,65.11,.010,-.041,-.031,173,,,"$277,632",2012
128,Kris Blanks,65,71.201,284.5,65.84,66.84,-.608,.547,-.061,297,,,"$390,059",2012
129,Hunter Haas,69,71.205,287.6,61.82,63.14,.011,-.120,-.109,251,1,,"$399,364",2012
