,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,SCRAMBLING_%,GIR_%,SG_TEE,SG_APPROACH,SG_SCRAMBLE,SG_PUTTING,SG_TOTAL,POINTS,TOP 10,1ST,MONEY,Year
37,J.J. Henry,97,70.362,293.7,61.3,58.43,68.1,0.03,0.125,0.084,0.114,0.35200000000000004,709,3,0,1161641,2009
38,Ben Crane,93,70.376,285.0,67.75,62.07,64.87,0.282,-0.038,0.1,0.431,0.775,996,4,0,1667085,2009
39,Justin Rose,71,70.389,288.1,64.8,58.51,65.95,0.18899999999999997,0.09300000000000001,0.113,0.111,0.506,704,2,0,1125518,2009
40,Brian Gay,96,70.4,268.5,72.24,64.79,62.44,-0.322,-0.032,0.259,0.726,0.632,573,4,2,3201295,2009
41,Dustin Johnson,85,70.414,308.3,55.4,55.95,66.07,0.509,0.175,0.13699999999999998,0.031,0.853,700,5,1,2977901,2009
42,Boo Weekley,79,70.42699999999999,291.7,68.37,55.22,66.81,0.721,0.301,0.011000000000000001,-0.528,0.505,802,1,0,1107448,2009
43,Nick O'Hern,90,70.429,277.0,69.06,59.61,66.73,-0.205,0.451,0.07,0.006,0.322,512,2,0,1074215,2009
44,Chad Campbell,90,70.43,291.0,63.5,59.75,69.19,-0.057,0.635,-0.006,0.03,0.602,1043,3,0,1725237,2009
45,Charley Hoffman,97,70.438,300.8,57.59,58.97,66.78,0.405,0.235,-0.128,0.096,0.609,1393,4,0,1894925,2009
46,Charles Howell III,99,70.459,292.7,58.87,57.33,67.09,0.13,0.141,0.36,-0.03,0.601,1202,3,0,1804460,2009
47,Y.E. Yang,83,70.46,291.3,60.56,58.42,66.17,0.17,0.386,-0.10800000000000001,-0.065,0.38299999999999995,565,4,2,3489516,2009
48,Stewart Cink,79,70.465,294.7,58.58,57.5,63.47,0.098,-0.040999999999999995,-0.11,0.34,0.287,505,4,1,2821030,2009
49,Brandt Snedeker,81,70.47399999999999,277.3,69.95,62.6,63.92,-0.037000000000000005,0.03,0.069,0.7609999999999999,0.823,1435,5,0,1483557,2009
50,Greg Chalmers,85,70.507,284.2,63.74,60.67,65.51,-0.221,-0.18600000000000003,0.11800000000000001,0.698,0.409,696,2,0,1058286,2009
51,Anthony Kim,76,70.507,299.0,53.65,57.14,62.69,0.115,0.1,0.019,0.245,0.479,1420,3,0,1972155,2009
52,Woody Austin,84,70.527,286.9,63.76,61.64,65.34,-0.036000000000000004,0.467,0.102,0.019,0.552,892,3,0,1137331,2009
53,Bill Haas,91,70.53,298.3,62.81,59.49,67.37,0.535,-0.126,0.011000000000000001,0.036000000000000004,0.455,1362,4,0,1425418,2009
54,Chris Riley,77,70.535,278.5,71.49,64.0,64.79,-0.342,-0.24600000000000002,0.728,0.34600000000000003,0.486,489,1,0,630417,2009
55,Harrison Frazar,93,70.538,301.0,54.32,56.55,65.67,-0.055999999999999994,0.08900000000000001,-0.045,0.322,0.311,483,1,0,738615,2009
56,Rory Sabbatini,81,70.544,293.2,57.89,56.85,65.56,0.299,0.452,0.284,-0.322,0.713,1426,4,1,2752291,2009
57,Davis Love III,89,70.55,299.9,58.97,57.53,66.92,0.384,0.37799999999999995,-0.004,-0.27399999999999997,0.485,1166,2,0,1622401,2009
58,Kevin Sutherland,96,70.561,289.1,62.59,58.88,66.73,0.233,0.013000000000000001,0.175,0.27,0.6920000000000001,1276,2,0,1218605,2009
59,Bob Estes,78,70.568,282.6,67.99,62.15,64.25,-0.128,0.131,0.212,0.313,0.528,824,2,0,1079929,2009
60,Marc Leishman,91,70.587,298.6,59.44,57.39,67.18,0.163,0.239,-0.19,0.141,0.353,593,3,0,1742243,2009
61,Kevin Streelman,97,70.59100000000001,296.5,61.16,54.03,66.61,0.43700000000000006,-0.012,-0.261,0.121,0.284,758,2,0,1007444,2009
62,Ryan Moore,89,70.598,295.9,65.46,61.2,66.14,0.26,0.017,-0.18,0.34700000000000003,0.444,1215,6,1,2222871,2009
63,Rod Pampling,72,70.607,288.1,63.81,59.4,65.88,0.183,0.023,0.35,0.127,0.684,592,3,0,956897,2009
64,Bubba Watson,73,70.61,311.4,53.05,54.04,64.23,0.387,0.037000000000000005,0.044000000000000004,0.08,0.5479999999999999,1140,2,0,1430244,2009
65,Heath Slocum,95,70.612,287.0,71.99,58.38,67.58,0.415,0.306,-0.19899999999999998,-0.426,0.09699999999999999,1855,4,1,2195565,2009
66,Freddie Jacobson,83,70.617,284.1,58.78,60.75,63.31,-0.33399999999999996,-0.069,0.282,0.516,0.395,1087,3,0,1189995,2009
67,Bill Lunde,83,70.623,292.4,64.0,61.12,67.01,0.14300000000000002,-0.028999999999999998,0.043,0.0,0.158,444,2,0,825691,2009
68,James Nitties,86,70.637,291.5,62.62,57.67,63.35,0.262,-0.512,0.095,0.23800000000000002,0.08199999999999999,560,2,0,931532,2009
69,Briny Baird,89,70.641,282.1,67.15,57.05,68.95,-0.012,0.515,0.163,-0.337,0.32899999999999996,733,3,0,1186982,2009
70,Charlie Wi,92,70.657,284.9,66.9,58.73,64.73,-0.16699999999999998,-0.036000000000000004,0.044000000000000004,0.488,0.32899999999999996,1101,3,0,1375096,2009
71,Tom Lehman,55,70.661,272.2,70.52,55.44,68.95,0.141,0.8340000000000001,-0.087,-0.531,0.358,285,1,0,515450,2009
72,Jonathan Byrd,89,70.66199999999999,295.9,66.3,55.56,70.59,0.581,0.368,0.11800000000000001,-0.434,0.633,888,2,0,1316771,2009
73,Vijay Singh,71,70.66199999999999,293.9,60.89,55.71,66.18,0.377,0.319,0.08,-0.657,0.12,719,3,0,1276815,2009
74,Fred Couples,54,70.664,297.5,55.91,52.5,67.08,0.304,0.348,0.157,-0.342,0.46799999999999997,709,4,0,1197971,2009
75,Paul Goydos,79,70.683,275.8,69.02,55.82,63.42,0.107,0.395,-0.08900000000000001,0.135,0.55,1120,4,0,1619918,2009
76,Scott Sterling,51,70.683,285.0,63.87,61.32,68.6,-0.14,0.162,0.19399999999999998,0.075,0.29100000000000004,258,0,0,318597,2009
77,Brian Davis,103,70.688,283.3,66.91,58.1,64.65,0.18100000000000002,0.038,0.076,0.001,0.297,1045,4,0,1874318,2009
78,Chris DiMarco,97,70.688,279.5,66.8,63.07,64.58,-0.264,0.207,0.311,-0.11599999999999999,0.138,391,0,0,584075,2009
79,Tag Ridings,50,70.696,307.4,56.14,56.02,66.41,0.429,-0.19,0.222,-0.225,0.23600000000000002,220,1,0,363597,2009
80,Michael Letzig,96,70.708,293.8,60.53,62.14,64.43,0.24,-0.16899999999999998,0.215,0.096,0.38299999999999995,697,2,0,896478,2009
81,Greg Owen,97,70.711,292.1,67.31,56.54,70.41,0.452,0.295,-0.071,-0.439,0.237,756,1,0,763517,2009
82,Jeff Overton,92,70.72,293.9,53.87,58.1,61.43,-0.017,-0.055999999999999994,0.026000000000000002,0.125,0.078,880,3,0,1193346,2009
83,John Mallinger,90,70.73,279.1,68.82,57.8,64.79,0.09699999999999999,-0.034,0.21600000000000003,0.08,0.358,1037,4,0,1717140,2009
84,Tim Petrovic,97,70.732,282.8,66.77,64.97,65.44,0.12,0.044000000000000004,0.179,0.306,0.649,655,6,0,1551866,2009
85,Kevin Stadler,65,70.732,290.3,62.3,62.06,66.86,0.018000000000000002,0.213,0.146,-0.239,0.138,557,1,0,925514,2009
86,Chris Stroud,88,70.748,290.7,63.73,53.91,68.72,-0.133,0.36,-0.128,-0.092,0.006999999999999999,379,2,0,735019,2009
87,Scott McCarron,91,70.753,284.7,73.32,62.96,65.38,0.259,-0.485,0.05,0.473,0.298,719,3,0,980819,2009
88,Troy Matteson,95,70.762,301.7,60.03,57.92,68.38,0.486,-0.087,-0.18100000000000002,0.025,0.243,754,1,1,1466070,2009
89,Jeff Klauk,97,70.777,280.9,71.19,61.91,66.37,-0.016,-0.243,0.105,0.45299999999999996,0.3,645,3,0,1243696,2009
90,Matt Jones,56,70.811,298.0,55.4,62.71,67.22,-0.23399999999999999,-0.078,0.11,0.583,0.381,353,2,0,593313,2009
91,Spencer Levin,75,70.813,279.0,62.13,63.07,67.37,-0.493,0.196,0.053,0.4,0.156,295,1,0,531240,2009
92,Robert Garrigus,83,70.814,312.0,56.86,57.52,70.53,0.418,0.311,-0.354,-0.365,0.01,433,1,0,657204,2009
93,Michael Allen,73,70.815,289.1,68.12,57.25,67.23,0.32899999999999996,0.292,-0.106,-0.048,0.467,440,1,0,741066,2009
94,Vaughn Taylor,88,70.818,283.1,66.61,54.91,64.95,-0.188,-0.004,-0.183,0.33899999999999997,-0.037000000000000005,416,2,0,1178282,2009
95,Matt Weibring,65,70.825,288.7,64.88,61.37,65.63,-0.193,0.373,0.055999999999999994,-0.105,0.13,264,1,0,542066,2009
96,Ted Purdy,101,70.827,293.6,64.05,55.4,66.25,0.42100000000000004,-0.22,-0.231,0.077,0.048,580,1,0,838707,2009
97,Brett Quigley,92,70.833,287.5,58.92,59.14,66.01,-0.297,0.508,0.095,-0.193,0.113,812,3,0,1412780,2009
